PSM1/2 Position,MTMR/L Position
"[[    0.965376,     0.25904,    0.030768;
    -0.222081,    0.878003,   -0.424016;
    -0.136851,    0.402503,    0.905132]
[   -0.197869,   -0.026838,   0.0577131]]"
"[[    0.966386,    0.256251,    0.020829;
    -0.217188,    0.857045,   -0.467229;
     -0.13758,       0.447,    0.883891]
[   -0.187892,  -0.0268047,   0.0674547]]"
"[[    0.966432,    0.256868,  -0.0053332;
    -0.216766,    0.804058,   -0.553627;
    -0.137921,    0.536199,    0.832748]
[   -0.167987,  -0.0268726,   0.0874995]]"
"[[    0.966164,    0.253728,   -0.046364;
    -0.218038,    0.707404,   -0.672339;
    -0.137793,    0.659698,     0.73879]
[    -0.13826,  -0.0270782,      0.1177]]"
"[[    0.962879,    0.204097,    -0.17666;
    -0.261102,    0.538171,   -0.801372;
   -0.0684847,     0.81775,    0.571484]
[   -0.111635,  -0.0322866,    0.164607]]"
"[[    0.029592,   -0.999347,   0.0207156;
     0.512014,   0.0329542,    0.858345;
    -0.858467,  -0.0147934,    0.512655]
[   -0.179999,   0.0199346,    0.404295]]"
"[[   0.0283809,   -0.998952,   -0.035895;
     0.511956,   -0.016316,    0.858857;
    -0.858543,  -0.0427518,    0.510957]
[   -0.190287,   0.0196908,    0.414771]]"
"[[   0.0187658,   -0.989808,   -0.141168;
     0.503495,   -0.112628,    0.856626;
    -0.863795,  -0.0871526,    0.496249]
[   -0.210209,   0.0198346,    0.434731]]"
"[[  -0.0169186,    -0.95371,   -0.300253;
     0.497614,   -0.268496,    0.824797;
    -0.867233,   -0.135456,    0.479122]
[   -0.240159,   0.0198705,    0.464736]]"
"[[  -0.0200487,   -0.860815,   -0.508523;
     0.508641,   -0.446667,    0.736052;
    -0.860745,   -0.243899,    0.446801]
[   -0.279973,   0.0210212,    0.503347]]"
